Joan Maragall Archive,Library,https://i.imgur.com/WrY8Yo2.png,"Carrer d'Alfons XII, 79, 08006 Barcelona",http://www.joanmaragall.cat/ca/contacte
Biblioteca de Sarrià – Clarà,Library,https://i.imgur.com/FqeMczT.png,"Carrer del Dr. Carulla, 22, 24, 08017 Barcelona",http://www.barcelona.cat/bibclara
Biblioteca d'Empresa i Treball,Library,https://i.imgur.com/Xxu2tRR.png,"Passeig de Gràcia, 105, 08008 Barcelona",http://empresa.gencat.cat/ca/departament/serveis/biblioteques-i-centre-documentacio/biblioteca-departament/
Pavelló de la República CRAI Library,Library,https://i.imgur.com/Vs36pfc.png,"Av. del Cardenal Vidal i Barraquer, 34-36, 08035 Barcelona",http://crai.ub.edu/ca/coneix-el-crai/biblioteques/biblioteca-pavello-republica
Biblioteca Provincial dels Franciscans de Catalunya,Library,https://i.imgur.com/hztMH8q.png,"Carrer de Santaló, 80, 08021 Barcelona","https://www.google.com/maps/place/Biblioteca+Provincial+dels+Franciscans+de+Catalunya/@41.3975951,2.1435691,17z/data=!4m6!3m5!1s0x12a49875c0b8f46d:0x997f6184d91b5ac5!8m2!3d41.3975951!4d2.1435691!16s%2Fg%2F12qg85j2y?authuser=0&hl=en"
Biblioteca El Clot - Josep Benet,Library,https://i.imgur.com/TCcpxFj.png,"Pl. de las Glorias Catalanas, 37-38, 08013 Barcelona",http://www.barcelona.cat/bibelclot
Sant Pau - Santa Creu Public Library,Library,https://i.imgur.com/7qLwd2o.png,"Carrer del Carme, 47, 08001 Barcelona",http://www.barcelona.cat/bibsantpau
Biblioteca Pública Arús,Library,https://i.imgur.com/oWun3uu.png,"Pg. de Sant Joan, 26, 08010 Barcelona",http://www.bpa.es/
Montserrat Abelló Public Library,Library,https://i.imgur.com/L64ub4D.png,"Carrer dels Comtes de Bell-Lloc, 192, 200, 08014 Barcelona",http://barcelona.cat/bibmontserratabello
Library of Catalonia,Library,https://i.imgur.com/ha1pKNa.png,"C/ de l'Hospital, 56, 08001 Barcelona",http://www.bnc.cat/
Albert Pérez Baró Public Library,Library,https://i.imgur.com/0d7pmZC.png,"C/ de l'Arquitectura, 8, 08035 Barcelona",http://www.barcelona.cat/bibmontbau
CIC Mediateca,Library,https://i.imgur.com/7Lneavw.png,"Carrer de la Reina Victòria, 10, 08021 Barcelona",https://www.iccic.edu/institucional/mediateca/la-mediateca
Biblioteca Pública Episcopal de Barcelona,Library,https://i.imgur.com/FoeeoGZ.png,"C/ de la Diputació, 231, 08007 Barcelona",http://www.bibliotecaepiscopalbcn.org/
Centre de Documentació Montserrat,Library,https://i.imgur.com/SoJfq7r.png,"Rambla de Catalunya, 10, 08007 Barcelona",https://www.periodistes.cat/serveis/centre-de-documentacio-montserrat-roig
Sagrada Familia Public Library,Library,https://i.imgur.com/KhNpocD.png,"C/ de Provença, 480, 08025 Barcelona",http://www.barcelona.cat/bibsagradafamilia
